name_en	name_mm
Set Hmu Zone Hnit (South Dagon)	စက်မှုဇုန် ၂ (တ/ဒဂုံ)
Thit Saing Kwae (SiiPin Road)	သစ်ဆိုင်ကွေ့ (စည်ပင်လမ်း)
Chauk-sae-ngar 	၆၅
Kyar Kan	ကြာကန်
Shwe Taung Kyar Lan	ရွှေတောင်ကြားလမ်း
Sittaung	စစ်တောင်း
Thein Kyaung	သိမ်ကျောင်း
Thitsar	သစ္စာ
Tadar Phyu (No 2 Main Road)	တံတားဖြူ (အမှတ်(၂)လမ်းမကြီး)
Tadar Phyu (HlaingTharYar)	တံတားဖြူ (လှိုင်သာယာ)
Taung Myauk Lan Sone	တောင်/မြောက်လမ်းဆုံ
Than Lan (AungZayYa Road)	သံလမ်း (အောင်ဇေယျလမ်း)
Than Lan (Insein)	သံလမ်း (အင်းစိန်)
Gate Haung	ဂိတ်ဟောင်း
Kone Padaythar (South Dagon)	ကုန်ပဒေသာ (တောင်ဒဂုံ)
Kone Padaythar (TaPinShweHtee)	ကုန်ပဒေသာ (တပင်ရွှေထီး)
Pan Chan (South Dagon)	ပန်းခြံ (တောင်ဒဂုံ)
Yauk Kaw	ယောက်ကော်
Hnit-sae Zay	(၂၀) စျေး
Hnit-sae Shit Ta Dar Htate	၂၈တံတားထိပ်
Kar Lay Gate (South Dagon)	ကားလေးဂိတ် (တ/ဒဂုံ)
Nha-Sal Kone Taik	၂၀ ကုန်တိုက်
Kone Taik	ကုန်တိုက်
Thapyay Nyo	သပြေညို
Kyan Mar Yae (PyiDaungSu Road)	ကျန်းမာရေး (ပြည်ထောင်စုလမ်း)
Kyan Mar Yae (HlaingTharYar)	ကျန်းမာရေး (လှိုင်သာယာ)
Ngar-sae Lay Tha Ma	(၅၄) သမ
Phone Gyi Kyaung Kwae	ဘုန်းကြီးကျောင်းကွေ့
Phone Gyi Kyaung Kwae (MaungMaKanKanThar Road)	ဘုန်းကြီးကျောင်းကွေ့ (မောင်းမကန်ကမ်းသာလမ်း)
Sae-shit Kwae (MaungMaKanKanThar Road)	၁၈ ကွေ့ (မောင်းမကန်ကမ်းသာလမ်း)
Sae-shit Kwae (SiiPin Road)	၁၈ ကွေ့ (စည်ပင်လမ်း)
Tadar Htate (PyiDaungSu Road)	တံတားထိပ် (ပြည်ထောင်စုလမ်း)
Awaiyar	အဝေရာ
Kun Yar Saing (South Dagon)	ကွမ်းယာဆိုင် (တောင်ဒဂုံ)
Kun Yar Saing (HlawKar)	ကွမ်းယာဆိုင် (လှော်ကား)
Ngar-sae-chauk Lan Sone	(၅၆) လမ်းဆုံ
Khun-Hnit-Sal/ Khun-Hnit-Sae Tit Zay (KyanSitThar Road)	၇၀/၇၁ စျေး (ကျန်စစ်သားလမ်း)
Ah Kyaw Tae (South Dagon)	အကြော်တဲ (တ/ဒဂုံ)
Ah Kyaw Tae (MaHarMyaing)	အကြော်တဲ (မဟာမြိုင်)
Kar Gyi Gate (Thar Kay Ta)	ကားကြီးဂိတ် (သာကေတ)
Kar Gyi Gate (Wai Bar Gi)	ကားကြီးဂိတ် (ဝေဘာဂီ)
Kyauk Lan (No 2 Main Road)	ကျောက်လမ်း (အမှတ်(၂)လမ်းမကြီး)
Kyauk Lan (Dagon SateKan)	ကျောက်လမ်း (ဒဂုံဆိပ်ကမ်း)
Say Yon Shae	ဆေးရုံရှေ့
U Tun Myat	ဦးထွန်းမြတ်
War Saing Kwae	ဝါးဆိုင်ကွေ့
Yone Shae (South Dagon)-PyiDaungSu Road	ရုံးရှေ့ (တောင်ဒဂုံ)-ပြည်ထောင်စုလမ်း
Yone Shae (North Dagon)	ရုံးရှေ့ (မ/ဒဂုံ)
Mya Nandar	မြနန္ဒာ
Yadanar Lan	ရတနာလမ်း
Oh Eain (BoGyoke Road)	အိုးအိမ် (ဗိုလ်ချုပ်လမ်း)
Oh Eain (No 3 Main Road)	အိုးအိမ် (အမှတ် (၃) လမ်းမကြီး)
Moke Oo (Yuzana Garden)	မုခ်ဦး (ယုဇနဥယျာဉ်)
Padauk Kwae (Kyun ShweWar Road)	ပိတောက်ကွေ့ (ကျွန်းရွှေဝါလမ်း)
Padauk Kwae (PoneNarMe Road)	ပိတောက်ကွေ့ (ပုဏ္ဍမီလမ်း)
Sae-Tit Lan (Yuzana)	၁၁ လမ်း (ယုဇန)
Nwe Thar Gi	နွယ်သာဂီ
May Dar Wi Lan Sone	မေဓာဝီလမ်းဆုံ
Mya Yadanar (North OakKaLar)	မြရတနာ (မ/ဥက္ကာလာ)
Oakkar	ဥက္ကာ
Yoke Shin Yone (Bago Road)	ရုပ်ရှင်ရုံ (ပဲခူးလမ်း)
Yone	ရုံး
